city,year,weekofyear,total_cases
sj,2008,18,4.26
sj,2008,19,3.3
sj,2008,20,3.916
sj,2008,21,4.608
sj,2008,22,4.488
sj,2008,23,4.936
sj,2008,24,6.792
sj,2008,25,6.716
sj,2008,26,7.588
sj,2008,27,7.304
sj,2008,28,8.104
sj,2008,29,8.428
sj,2008,30,8.66
sj,2008,31,10.54
sj,2008,32,16.528
sj,2008,33,16.312
sj,2008,34,18.908
sj,2008,35,20.968
sj,2008,36,22.08
sj,2008,37,24.504
sj,2008,38,33.564
sj,2008,39,37.5
sj,2008,40,40.736
sj,2008,41,39.532
sj,2008,42,37.304
sj,2008,43,40.816
sj,2008,44,37.284
sj,2008,45,35.212
sj,2008,46,30.112
sj,2008,47,35.372
sj,2008,48,33.148
sj,2008,49,31.828
sj,2008,50,29.76
sj,2008,51,28.136
sj,2008,52,26.056
sj,2009,1,25.772
sj,2009,2,26.2
sj,2009,3,27.432
sj,2009,4,26.284
sj,2009,5,25.224
sj,2009,6,26.316
sj,2009,7,28.224
sj,2009,8,28.632
sj,2009,9,28.216
sj,2009,10,29.048
sj,2009,11,28.728
sj,2009,12,27.924
sj,2009,13,27.756
sj,2009,14,28.096
sj,2009,15,27.216
sj,2009,16,26.164
sj,2009,17,27.476
sj,2009,18,27.872
sj,2009,19,26.868
sj,2009,20,28.748
sj,2009,21,28.868
sj,2009,22,28.708
sj,2009,23,29.412
sj,2009,24,31.12
sj,2009,25,34.532
sj,2009,26,34.508
sj,2009,27,36.296
sj,2009,28,36.976
sj,2009,29,39.372
sj,2009,30,39.792
sj,2009,31,40.712
sj,2009,32,41.832
sj,2009,33,45.204
sj,2009,34,53.688
sj,2009,35,69.156
sj,2009,36,80.908
sj,2009,37,93.088
sj,2009,38,105.248
sj,2009,39,113.384
sj,2009,40,113.352
sj,2009,41,115.36
sj,2009,42,122.448
sj,2009,43,126.292
sj,2009,44,124.548
sj,2009,45,126.376
sj,2009,46,119.192
sj,2009,47,122.8
sj,2009,48,125.94
sj,2009,49,121.512
sj,2009,50,126.028
sj,2009,51,122.084
sj,2009,52,122.992
sj,2010,53,126.736
sj,2010,1,124.464
sj,2010,2,128.408
sj,2010,3,121.492
sj,2010,4,121.012
sj,2010,5,116.776
sj,2010,6,131.544
sj,2010,7,132.872
sj,2010,8,131.78
sj,2010,9,131.668
sj,2010,10,129.612
sj,2010,11,130.76
sj,2010,12,137.112
sj,2010,13,133.188
sj,2010,14,130.384
sj,2010,15,133.74
sj,2010,16,134.376
sj,2010,17,137.912
sj,2010,18,132.848
sj,2010,19,120.244
sj,2010,20,135.456
sj,2010,21,140.652
sj,2010,22,134.148
sj,2010,23,137.968
sj,2010,24,140.856
sj,2010,25,146.016
sj,2010,26,147.668
sj,2010,27,123.636
sj,2010,28,110.56
sj,2010,29,107.904
sj,2010,30,109.672
sj,2010,31,111.46
sj,2010,32,98.468
sj,2010,33,89.284
sj,2010,34,96.308
sj,2010,35,101.928
sj,2010,36,101.86
sj,2010,37,113.74
sj,2010,38,119.748
sj,2010,39,120.664
sj,2010,40,111.68
sj,2010,41,117.668
sj,2010,42,113.188
sj,2010,43,108.732
sj,2010,44,108.028
sj,2010,45,106.692
sj,2010,46,109.04
sj,2010,47,107.724
sj,2010,48,113.72
sj,2010,49,117.772
sj,2010,50,119.188
sj,2010,51,118.94
sj,2011,52,116.444
sj,2011,1,128.552
sj,2011,2,123.028
sj,2011,3,120.724
sj,2011,4,130.336
sj,2011,5,133.392
sj,2011,6,132.332
sj,2011,7,131.932
sj,2011,8,132.512
sj,2011,9,131.864
sj,2011,10,132.568
sj,2011,11,132.232
sj,2011,12,132.7
sj,2011,13,132.116
sj,2011,14,131.948
sj,2011,15,130.884
sj,2011,16,130.42
sj,2011,17,132.92
sj,2011,18,133.456
sj,2011,19,132.804
sj,2011,20,131.172
sj,2011,21,134.492
sj,2011,22,132.204
sj,2011,23,134.252
sj,2011,24,134.332
sj,2011,25,135.512
sj,2011,26,133.8
sj,2011,27,130.984
sj,2011,28,131.32
sj,2011,29,132.628
sj,2011,30,135.744
sj,2011,31,116.56
sj,2011,32,117.692
sj,2011,33,115.684
sj,2011,34,105.752
sj,2011,35,102.948
sj,2011,36,113.852
sj,2011,37,111.524
sj,2011,38,98.908
sj,2011,39,93.076
sj,2011,40,101.496
sj,2011,41,96.004
sj,2011,42,84.58
sj,2011,43,77.472
sj,2011,44,73.936
sj,2011,45,65.796
sj,2011,46,63.796
sj,2011,47,62.408
sj,2011,48,59.94
sj,2011,49,61.632
sj,2011,50,61.328
sj,2011,51,64.788
sj,2012,52,58.244
sj,2012,1,58.396
sj,2012,2,57.6
sj,2012,3,50.836
sj,2012,4,50.456
sj,2012,5,48.352
sj,2012,6,45.544
sj,2012,7,38.528
sj,2012,8,33.2
sj,2012,9,32.296
sj,2012,10,31.624
sj,2012,11,31.544
sj,2012,12,31.288
sj,2012,13,33.528
sj,2012,14,33.628
sj,2012,15,32.932
sj,2012,16,32.536
sj,2012,17,33.576
sj,2012,18,33.116
sj,2012,19,32.188
sj,2012,20,34.58
sj,2012,21,34.716
sj,2012,22,38.168
sj,2012,23,38.62
sj,2012,24,35.052
sj,2012,25,35.108
sj,2012,26,38.896
sj,2012,27,40.428
sj,2012,28,40.548
sj,2012,29,43.408
sj,2012,30,49.872
sj,2012,31,60.66
sj,2012,32,67.84
sj,2012,33,70.496
sj,2012,34,73.24
sj,2012,35,80.624
sj,2012,36,90.2
sj,2012,37,100.28
sj,2012,38,100.384
sj,2012,39,116.868
sj,2012,40,125.944
sj,2012,41,130.396
sj,2012,42,126.392
sj,2012,43,120.556
sj,2012,44,124.676
sj,2012,45,116.984
sj,2012,46,124.896
sj,2012,47,124.064
sj,2012,48,128.66
sj,2012,49,127.616
sj,2012,50,123.964
sj,2012,51,120.48
sj,2013,1,123.832
sj,2013,2,120.64
sj,2013,3,121.352
sj,2013,4,120.276
sj,2013,5,121.932
sj,2013,6,122.552
sj,2013,7,126.344
sj,2013,8,131.632
sj,2013,9,132.736
sj,2013,10,133.356
sj,2013,11,131.428
sj,2013,12,132.052
sj,2013,13,131.968
sj,2013,14,132.392
sj,2013,15,130.172
sj,2013,16,131.032
sj,2013,17,130.668
iq,2010,26,3.02
iq,2010,27,2.845
iq,2010,28,3.035
iq,2010,29,2.875
iq,2010,30,2.885
iq,2010,31,3.935
iq,2010,32,3.635
iq,2010,33,2.95
iq,2010,34,2.385
iq,2010,35,2.05
iq,2010,36,2.935
iq,2010,37,2.59
iq,2010,38,3.54
iq,2010,39,3.485
iq,2010,40,3.705
iq,2010,41,3.335
iq,2010,42,3.44
iq,2010,43,2.995
iq,2010,44,2.915
iq,2010,45,3.0
iq,2010,46,2.79
iq,2010,47,3.46
iq,2010,48,3.715
iq,2010,49,3.455
iq,2010,50,4.415
iq,2010,51,3.005
iq,2011,52,4.985
iq,2011,1,6.045
iq,2011,2,6.6
iq,2011,3,6.055
iq,2011,4,5.3
iq,2011,5,5.725
iq,2011,6,5.11
iq,2011,7,5.375
iq,2011,8,4.825
iq,2011,9,4.955
iq,2011,10,4.96
iq,2011,11,5.54
iq,2011,12,6.295
iq,2011,13,5.8
iq,2011,14,7.14
iq,2011,15,7.675
iq,2011,16,6.84
iq,2011,17,6.88
iq,2011,18,7.575
iq,2011,19,7.87
iq,2011,20,7.775
iq,2011,21,6.975
iq,2011,22,5.56
iq,2011,23,6.525
iq,2011,24,7.41
iq,2011,25,5.605
iq,2011,26,5.175
iq,2011,27,4.825
iq,2011,28,5.265
iq,2011,29,5.27
iq,2011,30,4.52
iq,2011,31,4.405
iq,2011,32,2.41
iq,2011,33,1.915
iq,2011,34,1.98
iq,2011,35,2.635
iq,2011,36,3.33
iq,2011,37,3.505
iq,2011,38,3.055
iq,2011,39,3.06
iq,2011,40,2.995
iq,2011,41,3.175
iq,2011,42,3.305
iq,2011,43,3.18
iq,2011,44,3.485
iq,2011,45,2.77
iq,2011,46,3.035
iq,2011,47,2.83
iq,2011,48,2.84
iq,2011,49,2.775
iq,2011,50,2.62
iq,2011,51,2.67
iq,2012,52,3.06
iq,2012,1,2.745
iq,2012,2,3.22
iq,2012,3,3.165
iq,2012,4,3.145
iq,2012,5,2.63
iq,2012,6,2.415
iq,2012,7,2.595
iq,2012,8,2.375
iq,2012,9,2.495
iq,2012,10,2.975
iq,2012,11,2.905
iq,2012,12,2.415
iq,2012,13,2.94
iq,2012,14,1.89
iq,2012,15,2.225
iq,2012,16,2.815
iq,2012,17,3.325
iq,2012,18,3.085
iq,2012,19,3.73
iq,2012,20,3.355
iq,2012,21,3.165
iq,2012,22,2.51
iq,2012,23,2.76
iq,2012,24,2.085
iq,2012,25,2.995
iq,2012,26,2.985
iq,2012,27,2.875
iq,2012,28,2.77
iq,2012,29,2.12
iq,2012,30,2.43
iq,2012,31,2.69
iq,2012,32,3.745
iq,2012,33,3.23
iq,2012,34,3.535
iq,2012,35,3.445
iq,2012,36,4.01
iq,2012,37,3.91
iq,2012,38,4.17
iq,2012,39,4.37
iq,2012,40,3.76
iq,2012,41,3.49
iq,2012,42,4.015
iq,2012,43,3.435
iq,2012,44,3.345
iq,2012,45,2.87
iq,2012,46,3.705
iq,2012,47,3.12
iq,2012,48,3.23
iq,2012,49,3.205
iq,2012,50,3.645
iq,2012,51,4.23
iq,2013,1,3.515
iq,2013,2,4.42
iq,2013,3,4.685
iq,2013,4,5.76
iq,2013,5,6.765
iq,2013,6,7.785
iq,2013,7,8.795
iq,2013,8,7.51
iq,2013,9,9.515
iq,2013,10,8.925
iq,2013,11,9.035
iq,2013,12,8.835
iq,2013,13,9.875
iq,2013,14,8.675
iq,2013,15,8.31
iq,2013,16,9.305
iq,2013,17,8.295
iq,2013,18,8.89
iq,2013,19,7.095
iq,2013,20,8.125
iq,2013,21,6.9
iq,2013,22,8.35
iq,2013,23,6.8
iq,2013,24,5.795
iq,2013,25,5.885
iq,2013,26,6.375
