city,year,weekofyear,total_cases
sj,2008,18,7
sj,2008,19,8
sj,2008,20,8
sj,2008,21,9
sj,2008,22,10
sj,2008,23,11
sj,2008,24,12
sj,2008,25,14
sj,2008,26,16
sj,2008,27,18
sj,2008,28,20
sj,2008,29,23
sj,2008,30,27
sj,2008,31,31
sj,2008,32,38
sj,2008,33,42
sj,2008,34,49
sj,2008,35,51
sj,2008,36,56
sj,2008,37,60
sj,2008,38,63
sj,2008,39,64
sj,2008,40,64
sj,2008,41,65
sj,2008,42,67
sj,2008,43,66
sj,2008,44,64
sj,2008,45,62
sj,2008,46,62
sj,2008,47,61
sj,2008,48,60
sj,2008,49,58
sj,2008,50,53
sj,2008,51,49
sj,2008,52,45
sj,2009,1,40
sj,2009,2,39
sj,2009,3,37
sj,2009,4,37
sj,2009,5,36
sj,2009,6,34
sj,2009,7,32
sj,2009,8,31
sj,2009,9,29
sj,2009,10,27
sj,2009,11,25
sj,2009,12,23
sj,2009,13,22
sj,2009,14,20
sj,2009,15,18
sj,2009,16,16
sj,2009,17,14
sj,2009,18,14
sj,2009,19,13
sj,2009,20,12
sj,2009,21,12
sj,2009,22,12
sj,2009,23,12
sj,2009,24,13
sj,2009,25,14
sj,2009,26,16
sj,2009,27,18
sj,2009,28,20
sj,2009,29,24
sj,2009,30,29
sj,2009,31,35
sj,2009,32,41
sj,2009,33,47
sj,2009,34,52
sj,2009,35,55
sj,2009,36,60
sj,2009,37,64
sj,2009,38,68
sj,2009,39,72
sj,2009,40,75
sj,2009,41,82
sj,2009,42,90
sj,2009,43,103
sj,2009,44,116
sj,2009,45,124
sj,2009,46,125
sj,2009,47,121
sj,2009,48,115
sj,2009,49,109
sj,2009,50,99
sj,2009,51,87
sj,2009,52,73
sj,2010,53,62
sj,2010,1,57
sj,2010,2,53
sj,2010,3,49
sj,2010,4,46
sj,2010,5,44
sj,2010,6,41
sj,2010,7,38
sj,2010,8,36
sj,2010,9,33
sj,2010,10,32
sj,2010,11,30
sj,2010,12,29
sj,2010,13,28
sj,2010,14,27
sj,2010,15,26
sj,2010,16,25
sj,2010,17,26
sj,2010,18,27
sj,2010,19,27
sj,2010,20,27
sj,2010,21,28
sj,2010,22,31
sj,2010,23,34
sj,2010,24,39
sj,2010,25,45
sj,2010,26,50
sj,2010,27,55
sj,2010,28,61
sj,2010,29,68
sj,2010,30,72
sj,2010,31,74
sj,2010,32,75
sj,2010,33,76
sj,2010,34,77
sj,2010,35,80
sj,2010,36,84
sj,2010,37,87
sj,2010,38,84
sj,2010,39,82
sj,2010,40,82
sj,2010,41,84
sj,2010,42,84
sj,2010,43,81
sj,2010,44,74
sj,2010,45,68
sj,2010,46,62
sj,2010,47,57
sj,2010,48,51
sj,2010,49,45
sj,2010,50,40
sj,2010,51,36
sj,2011,52,33
sj,2011,1,31
sj,2011,2,29
sj,2011,3,27
sj,2011,4,25
sj,2011,5,23
sj,2011,6,22
sj,2011,7,20
sj,2011,8,19
sj,2011,9,18
sj,2011,10,16
sj,2011,11,15
sj,2011,12,14
sj,2011,13,12
sj,2011,14,11
sj,2011,15,10
sj,2011,16,10
sj,2011,17,10
sj,2011,18,9
sj,2011,19,9
sj,2011,20,10
sj,2011,21,11
sj,2011,22,12
sj,2011,23,14
sj,2011,24,15
sj,2011,25,17
sj,2011,26,20
sj,2011,27,24
sj,2011,28,27
sj,2011,29,31
